🔹 Dummy Input Field,Value
reference_no,APTA-REF-9564
issued_in,East Maureen
consigned_from,"Thompson-Allen
USNS West
FPO AA 42829"
consigned_to,"Wood-Freeman
5932 Alexis Row Apt. 231
Chavezberg, PW 15798"
transport_route,Sea via Andersonland
official_use,Approved by Trade Dept.
tariff_item_number,3664
package_marks_numbers,PKG-926
package_description,Discover prove herself light.
origin_criterion,Rule B
gross_weight_or_quantity,1556 kg
invoice_number_date,INV-84293 dated 2007-10-20
declaration_country,India
importing_country,Ireland
declaration_place_date,"Port Elaine, 2010-08-14"
declaration_signature,Andrew Johnston
certification_place_date,"East Curtisfurt, 2011-06-27"
certification_signature_stamp,Gerald Lee

✅ Test Parameter,Rating (1–5),Remarks
Reliability,3,Acceptable performance; needs better optimization.
Scalability,5,Excellent performance under all tested conditions.
Robustness/Resilience,3,Acceptable performance; needs better optimization.
Latency,3,Acceptable performance; needs better optimization.
Throughput,4,Good performance with minor improvements suggested.
Security,4,Good performance with minor improvements suggested.
Usability/User-Friendliness,4,Good performance with minor improvements suggested.
Maintainability,3,Acceptable performance; needs better optimization.
Availability,5,Excellent performance under all tested conditions.
Cost,4,Good performance with minor improvements suggested.
Flexibility/Adaptability,4,Good performance with minor improvements suggested.
Portability,5,Excellent performance under all tested conditions.
Interoperability,5,Excellent performance under all tested conditions.
Resource Utilization,5,Excellent performance under all tested conditions.
Documentation Quality,3,Acceptable performance; needs better optimization.
